,Epoch,Loss,Dice,Precision,Recall,IoU
0,0,0.22359967231750488,0.723968505859375,0.6898961663246155,0.7552120089530945,0.563817024230957
1,1,0.22845536470413208,0.7484561800956726,0.726524829864502,0.7684604525566101,0.596047580242157
2,2,0.23253518342971802,0.7631409168243408,0.746442973613739,0.7783421874046326,0.6155857443809509
3,3,0.21993929147720337,0.7745949625968933,0.7606275081634521,0.7873420715332031,0.6309944987297058
4,4,0.19577795267105103,0.783835768699646,0.771526575088501,0.795117974281311,0.6435807347297668
5,5,0.1803513765335083,0.7923764586448669,0.7814998626708984,0.8023460507392883,0.6553356051445007
6,6,0.1808532476425171,0.7994298934936523,0.7894565463066101,0.8085983991622925,0.6651580333709717
7,7,0.11887878179550171,0.8061999082565308,0.7969681024551392,0.8147035837173462,0.6746747493743896
8,8,0.10767471790313721,0.8124315738677979,0.8038552403450012,0.8203381896018982,0.6835201978683472
9,9,0.13712787628173828,0.8179466724395752,0.8099066615104675,0.8253663182258606,0.6914226412773132
10,10,0.10835140943527222,0.8231221437454224,0.8155462741851807,0.8301190137863159,0.6989006400108337
11,11,0.13796913623809814,0.8277828693389893,0.8206213116645813,0.8344005346298218,0.7056894302368164
12,12,0.11797153949737549,0.8320110440254211,0.8251794576644897,0.8383309245109558,0.7118937969207764
13,13,0.12268418073654175,0.8359687328338623,0.8294507265090942,0.8420025110244751,0.717739999294281
14,14,0.11517894268035889,0.8396348357200623,0.8334171772003174,0.8453918695449829,0.7231898903846741
15,15,0.145949125289917,0.8430346846580505,0.8370810747146606,0.8485487699508667,0.7282738089561462
16,16,0.09683096408843994,0.8461596965789795,0.8404386639595032,0.8514606356620789,0.7329726815223694
17,17,0.11977553367614746,0.8490998148918152,0.8435940742492676,0.8542032241821289,0.7374163866043091
18,18,0.10533159971237183,0.8517946004867554,0.8464800119400024,0.856722891330719,0.741508960723877
19,19,0.10029196739196777,0.854314386844635,0.8492000699043274,0.8590567111968994,0.7453529834747314
20,20,0.110454261302948,0.8567108511924744,0.8517623543739319,0.8613010048866272,0.7490240335464478
21,21,0.08718401193618774,0.8589354157447815,0.8541447520256042,0.8633803129196167,0.7524454593658447
22,22,0.09972506761550903,0.8610050082206726,0.8563710451126099,0.8653045296669006,0.7556405067443848
23,23,0.11879962682723999,0.8629931807518005,0.8584908843040466,0.8671717643737793,0.7587202787399292
24,24,0.15983396768569946,0.8648859262466431,0.8605139255523682,0.8689441084861755,0.7616621255874634
25,25,0.07542788982391357,0.866658091545105,0.8623979091644287,0.8706142902374268,0.76442551612854
26,26,0.0883745551109314,0.8683255314826965,0.8641771078109741,0.8721786737442017,0.7670333981513977
27,27,0.0907852053642273,0.8699108958244324,0.8658563494682312,0.8736785650253296,0.7695198655128479
28,28,0.10753315687179565,0.8714171051979065,0.8674597144126892,0.8750954866409302,0.7718886137008667
29,29,0.0895426869392395,0.8728629946708679,0.8689956068992615,0.8764589428901672,0.7741684317588806
30,30,0.07876735925674438,0.8742304444313049,0.8704418540000916,0.8777546882629395,0.7763298749923706
31,31,0.0873376727104187,0.8755444288253784,0.8718359470367432,0.8789952993392944,0.7784116268157959
32,32,0.08427399396896362,0.8767987489700317,0.8731679916381836,0.8801782131195068,0.7804033756256104
33,33,0.08605688810348511,0.8779973983764648,0.8744414448738098,0.8813078999519348,0.782310962677002
34,34,0.09027588367462158,0.879154622554779,0.8756727576255798,0.8823968172073364,0.7841562628746033
35,35,0.07654327154159546,0.8802505135536194,0.8768293261528015,0.8834375143051147,0.7859072089195251
36,36,0.10147148370742798,0.8812906742095947,0.8779335021972656,0.884418785572052,0.78757244348526
37,37,0.10654288530349731,0.8823056221008301,0.8790008425712585,0.8853861689567566,0.7892000675201416
38,38,0.08654481172561646,0.8832963109016418,0.8800491690635681,0.8863241672515869,0.7907915711402893
39,39,0.0886160135269165,0.8842392563819885,0.881041407585144,0.8872224688529968,0.7923091650009155
40,40,0.0922316312789917,0.8851478099822998,0.8820016980171204,0.8880837559700012,0.793773889541626
41,41,0.09436070919036865,0.8860142827033997,0.8829132914543152,0.888909101486206,0.7951726913452148
42,42,0.1102415919303894,0.8868746757507324,0.8838202953338623,0.889726996421814,0.7965639233589172
43,43,0.08875918388366699,0.8876872658729553,0.884678840637207,0.8904974460601807,0.7978799343109131
44,44,0.07547575235366821,0.8884750604629517,0.8855096101760864,0.89124596118927,0.7991575002670288
45,45,0.06867849826812744,0.889245867729187,0.8863173127174377,0.8919835686683655,0.800409197807312
46,46,0.09077239036560059,0.8899888396263123,0.8870939612388611,0.8926964998245239,0.801617443561554
47,47,0.07890427112579346,0.8907179236412048,0.8878576755523682,0.8933941721916199,0.8028044104576111
48,48,0.06744974851608276,0.89141446352005,0.8885918259620667,0.8940562605857849,0.8039399981498718
49,49,0.082455575466156,0.8920879364013672,0.8892980217933655,0.8947002291679382,0.8050393462181091
50,50,0.06336241960525513,0.8927393555641174,0.8899756073951721,0.8953285813331604,0.8061039447784424
51,51,0.0769580602645874,0.8933591246604919,0.8906230330467224,0.8959235548973083,0.8071179986000061
52,52,0.09168249368667603,0.8939762115478516,0.8912614583969116,0.8965224027633667,0.8081288933753967
53,53,0.0697203278541565,0.8945814967155457,0.8918905258178711,0.8971065878868103,0.8091213703155518
54,54,0.05941802263259888,0.8951668739318848,0.8925031423568726,0.8976672887802124,0.8100820779800415
55,55,0.07690131664276123,0.8957266211509705,0.8930814266204834,0.8982110023498535,0.8110018372535706
56,56,0.08029651641845703,0.8962766528129578,0.8936574459075928,0.8987376093864441,0.8119065761566162
57,57,0.08554184436798096,0.8968138098716736,0.8942227959632874,0.8992487788200378,0.8127909302711487
58,58,0.08290606737136841,0.8973299860954285,0.8947615027427673,0.8997450470924377,0.8136416673660278
59,59,0.06748956441879272,0.8978365063667297,0.8952891230583191,0.9002325534820557,0.8144770264625549
60,60,0.08542662858963013,0.8983407616615295,0.8958123922348022,0.9007200002670288,0.8153095245361328
61,61,0.07326042652130127,0.8988285660743713,0.896315336227417,0.9011950492858887,0.8161156177520752
62,62,0.07360094785690308,0.8992957472801208,0.8967982530593872,0.9016484022140503,0.8168882727622986
63,63,0.06902801990509033,0.8997635841369629,0.8972795009613037,0.9021050333976746,0.8176626563072205
64,64,0.06272375583648682,0.9002223610877991,0.8977521061897278,0.90255206823349,0.8184226155281067
65,65,0.07616132497787476,0.900664210319519,0.8982076048851013,0.9029819369316101,0.8191550970077515
66,66,0.07883340120315552,0.901089608669281,0.8986449837684631,0.9033975005149841,0.8198609352111816
67,67,0.08528941869735718,0.9015012383460999,0.8990644812583923,0.9038029909133911,0.820544421672821
68,68,0.08186829090118408,0.9019097089767456,0.8994803428649902,0.9042059779167175,0.821223258972168
69,69,0.07362663745880127,0.9023168087005615,0.8999014496803284,0.904600977897644,0.8219003081321716
70,70,0.09948515892028809,0.9027121663093567,0.9003067016601562,0.9049881100654602,0.8225582838058472
71,71,0.070431649684906,0.9031016230583191,0.9007070064544678,0.905368447303772,0.8232067823410034
72,72,0.06852251291275024,0.9034806489944458,0.9010952115058899,0.9057397246360779,0.8238382935523987
73,73,0.06114757061004639,0.903849184513092,0.9014782905578613,0.9060957431793213,0.8244530558586121
74,74,0.08292531967163086,0.9042072296142578,0.9018419981002808,0.9064496755599976,0.8250505328178406
75,75,0.04918396472930908,0.9045628309249878,0.9022033214569092,0.9068007469177246,0.8256441354751587
76,76,0.08296191692352295,0.9049153327941895,0.9025610685348511,0.9071497321128845,0.8262332677841187
77,77,0.07048732042312622,0.9052565097808838,0.9029079079627991,0.9074867367744446,0.82680344581604
78,78,0.07392263412475586,0.9055888056755066,0.9032464623451233,0.9078140258789062,0.8273593783378601
79,79,0.06857311725616455,0.9059197306632996,0.9035817980766296,0.9081421494483948,0.8279134631156921
80,80,0.06645411252975464,0.9062415361404419,0.9039079546928406,0.908460795879364,0.8284522294998169
81,81,0.08707141876220703,0.9065567255020142,0.9042255282402039,0.9087750911712646,0.8289803862571716
82,82,0.07475298643112183,0.9068655371665955,0.9045363664627075,0.9090834259986877,0.8294983506202698
83,83,0.07171642780303955,0.9071725606918335,0.9048483371734619,0.9093864560127258,0.8300132751464844
84,84,0.07421767711639404,0.9074710607528687,0.905147135257721,0.9096861481666565,0.8305144309997559
85,85,0.06178361177444458,0.9077677130699158,0.9054439663887024,0.9099839925765991,0.8310126066207886
86,86,0.04540061950683594,0.90805983543396,0.9057387113571167,0.9102746248245239,0.8315035104751587
87,87,0.07081985473632812,0.9083449244499207,0.9060295224189758,0.9105551242828369,0.8319827914237976
88,88,0.07111883163452148,0.9086225628852844,0.9063136577606201,0.9108273983001709,0.8324497938156128
89,89,0.06205564737319946,0.9088924527168274,0.9065889716148376,0.9110929369926453,0.832904040813446
90,90,0.07167172431945801,0.9091656804084778,0.9068619608879089,0.9113674759864807,0.8333640098571777
91,91,0.06182968616485596,0.9094304442405701,0.9071300029754639,0.9116302728652954,0.8338100910186768
92,92,0.05431830883026123,0.9096872806549072,0.9073861241340637,0.9118886590003967,0.8342428207397461
93,93,0.04835623502731323,0.9099412560462952,0.9076457619667053,0.9121382236480713,0.8346711993217468
94,94,0.058491289615631104,0.9101846218109131,0.9078906178474426,0.9123811721801758,0.8350818157196045
95,95,0.08587247133255005,0.9104357361793518,0.9081392288208008,0.9126356840133667,0.835505485534668
96,96,0.070431649684906,0.9106836318969727,0.9083877205848694,0.9128840565681458,0.8359240889549255
97,97,0.07428443431854248,0.9109238386154175,0.9086273908615112,0.9131259918212891,0.8363299369812012
98,98,0.06437307596206665,0.9111620783805847,0.9088639616966248,0.9133667945861816,0.8367323875427246
99,99,0.06110537052154541,0.911393404006958,0.9090960025787354,0.913598358631134,0.8371235132217407
100,100,0.06040853261947632,0.9116140007972717,0.9093151688575745,0.9138213396072388,0.8374966979026794
101,101,0.07526111602783203,0.9118214845657349,0.9095262289047241,0.914026141166687,0.837847888469696
102,102,0.060948073863983154,0.9120427966117859,0.9097442030906677,0.9142516851425171,0.8382223844528198
103,103,0.0636751651763916,0.9122646450996399,0.9099635481834412,0.9144768714904785,0.8385980129241943
104,104,0.0680379867553711,0.9124825596809387,0.9101805686950684,0.9146966338157654,0.8389672040939331
105,105,0.05077254772186279,0.9126939177513123,0.9103946685791016,0.9149060249328613,0.8393253087997437
106,106,0.06895923614501953,0.9129026532173157,0.9106035232543945,0.9151156544685364,0.8396793007850647
107,107,0.06632936000823975,0.9131112098693848,0.9108113646507263,0.9153257608413696,0.8400329947471619
108,108,0.057462215423583984,0.9133148789405823,0.9110139608383179,0.9155312180519104,0.84037846326828
109,109,0.05530744791030884,0.9135103821754456,0.9112075567245483,0.9157294034957886,0.8407102823257446
110,110,0.05840408802032471,0.9137054681777954,0.9114000797271729,0.9159279465675354,0.8410415649414062
111,111,0.06735217571258545,0.9139030575752258,0.9115922451019287,0.916131854057312,0.8413771390914917
112,112,0.052374184131622314,0.914094090461731,0.9117835760116577,0.9163233041763306,0.8417016863822937
113,113,0.06797897815704346,0.9142847061157227,0.9119715094566345,0.916517436504364,0.842025637626648
114,114,0.06598901748657227,0.9144719243049622,0.9121544361114502,0.9167096018791199,0.8423439264297485
115,115,0.05563110113143921,0.9146586060523987,0.9123390316963196,0.9168990254402161,0.8426613807678223
116,116,0.08631128072738647,0.9148414731025696,0.9125195741653442,0.9170849919319153,0.8429725170135498
117,117,0.05961251258850098,0.9150170683860779,0.9126947522163391,0.9172618985176086,0.8432713747024536
118,118,0.07840412855148315,0.9151929616928101,0.9128694534301758,0.9174395203590393,0.8435707688331604
119,119,0.05160117149353027,0.9153679609298706,0.9130417704582214,0.9176179766654968,0.8438688516616821
120,120,0.06858986616134644,0.9155391454696655,0.9132114052772522,0.9177913665771484,0.8441603779792786
121,121,0.07435745000839233,0.9157109260559082,0.9133786559104919,0.917968213558197,0.8444530963897705
122,122,0.06548142433166504,0.9158757328987122,0.9135398268699646,0.9181374907493591,0.8447340726852417
123,123,0.07598769664764404,0.9160423874855042,0.9137024879455566,0.9183087944984436,0.8450182676315308
124,124,0.05247044563293457,0.9162073731422424,0.9138619303703308,0.9184800982475281,0.8452996015548706
125,125,0.06017583608627319,0.9163661003112793,0.9140163064002991,0.9186438322067261,0.84557044506073
126,126,0.06624042987823486,0.9165167808532715,0.9141629338264465,0.9187991619110107,0.8458276391029358
127,127,0.06895506381988525,0.9166777729988098,0.9143189787864685,0.9189658761024475,0.8461025357246399
128,128,0.06871920824050903,0.9168348908424377,0.9144701361656189,0.9191296100616455,0.8463708162307739
129,129,0.05679196119308472,0.9169896245002747,0.914620578289032,0.919289231300354,0.8466350436210632
130,130,0.06940579414367676,0.9171425700187683,0.9147695899009705,0.919446587562561,0.8468961715698242
131,131,0.06330257654190063,0.9172905683517456,0.9149146676063538,0.9195982217788696,0.8471493124961853
132,132,0.060900747776031494,0.9174405932426453,0.915061891078949,0.9197517037391663,0.8474056720733643
133,133,0.0458683967590332,0.9175869822502136,0.9152036309242249,0.9199032187461853,0.8476559519767761
134,134,0.047516584396362305,0.9177334904670715,0.9153440594673157,0.9200564622879028,0.8479065299034119
135,135,0.08149772882461548,0.9178776741027832,0.9154817461967468,0.9202077388763428,0.8481532335281372
136,136,0.0474357008934021,0.9180207848548889,0.9156185388565063,0.9203577041625977,0.8483980894088745
137,137,0.06253194808959961,0.9181594848632812,0.9157547354698181,0.920499324798584,0.8486353754997253
138,138,0.06302666664123535,0.9182992577552795,0.9158898591995239,0.9206443428993225,0.8488747477531433
139,139,0.05524647235870361,0.9184358716011047,0.9160249829292297,0.920783281326294,0.849108874797821
140,140,0.07016998529434204,0.9185722470283508,0.9161579012870789,0.9209235906600952,0.849342405796051
141,141,0.06563311815261841,0.9187067747116089,0.9162893295288086,0.9210617542266846,0.8495729565620422
142,142,0.052046000957489014,0.918839693069458,0.9164186716079712,0.9211986660957336,0.8498005867004395
143,143,0.06829404830932617,0.9189695119857788,0.9165443181991577,0.9213330745697021,0.8500232696533203
144,144,0.06339430809020996,0.9190987944602966,0.9166687726974487,0.921467661857605,0.8502448797225952
145,145,0.07247132062911987,0.9192286133766174,0.9167922139167786,0.9216046333312988,0.8504675626754761
146,146,0.0652042031288147,0.9193576574325562,0.916917622089386,0.9217376708984375,0.8506889343261719
147,147,0.05756562948226929,0.919482946395874,0.9170399308204651,0.9218665361404419,0.8509039282798767
